,molecule_chembl_id,canonical_smiles,classe_bioatividade,standard_value
2690,CHEMBL175633,CC(C)N1CCN(c2ccc(N3CCN(c4ccc(OC[C@H]5OC[C@](Cn6cncn6)(c6ccc(F)cc6F)O5)cc4)CC3)cc2)C1=O,Inactive,19952.62
2691,CHEMBL1094,NC(=O)OCC(COC(N)=O)c1ccccc1,Inactive,20000.0
2692,CHEMBL1094,NC(=O)OCC(COC(N)=O)c1ccccc1,Inactive,19952.62
2693,CHEMBL177437,Cc1cc(/C=C\C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,Inactive,20000.0
2694,CHEMBL177437,Cc1cc(/C=C\C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,Inactive,19952.62
2695,CHEMBL139521,CN1CC(=O)N2[C@@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,Inactive,20000.0
2696,CHEMBL139521,CN1CC(=O)N2[C@@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,Inactive,19952.62
2697,CHEMBL282724,Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl)OCO2,Inactive,20000.0
2698,CHEMBL282724,Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl)OCO2,Inactive,19952.62
2699,CHEMBL207362,CC(C)(C)C(=O)Oc1ccc2c(c1)O[C@H](c1ccc(OCCN3CCCCC3)cc1)C1=C2COc2cc(OC(=O)C(C)(C)C)ccc21,Inactive,20000.0
2700,CHEMBL207362,CC(C)(C)C(=O)Oc1ccc2c(c1)O[C@H](c1ccc(OCCN3CCCCC3)cc1)C1=C2COc2cc(OC(=O)C(C)(C)C)ccc21,Inactive,19952.62
2701,CHEMBL146855,Cc1cccc(C)c1OC[C@H](C)N,Inactive,20000.0
2702,CHEMBL146855,Cc1cccc(C)c1OC[C@H](C)N,Inactive,19952.62
2703,CHEMBL2402737,COc1cc(C(=O)O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@](C#N)(c2ccc(Cl)cc2F)[C@H]1c1cccc(Cl)c1F,Inactive,20000.0
2704,CHEMBL2402737,COc1cc(C(=O)O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@](C#N)(c2ccc(Cl)cc2F)[C@H]1c1cccc(Cl)c1F,Inactive,19952.62
2705,CHEMBL4303782,COc1cc2c(c(OC)n1)[C@]1(O)[C@H](O)[C@H](CN(C)C)[C@@H](c3ccccc3)[C@]1(c1ccc(C#N)cc1)O2,Inactive,20000.0
2706,CHEMBL4303782,COc1cc2c(c(OC)n1)[C@]1(O)[C@H](O)[C@H](CN(C)C)[C@@H](c3ccccc3)[C@]1(c1ccc(C#N)cc1)O2,Inactive,19952.62
2707,CHEMBL2263632,COc1cccc(-c2cc(F)c(Nc3ncccc3C(=O)O)c(F)c2)c1,Inactive,20000.0
2708,CHEMBL2263632,COc1cccc(-c2cc(F)c(Nc3ncccc3C(=O)O)c(F)c2)c1,Inactive,19952.62
2709,CHEMBL1908365,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,Inactive,20000.0
2710,CHEMBL1908365,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,Inactive,19952.62
2711,CHEMBL1201774,C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,Inactive,20000.0
2712,CHEMBL1201774,C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,Inactive,19952.62
2713,CHEMBL3622820,N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)c3ccnc(C(F)(F)F)c3F)CC2)C1,Inactive,20000.0
2714,CHEMBL3622820,N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)c3ccnc(C(F)(F)F)c3F)CC2)C1,Inactive,19952.62
2715,CHEMBL3545154,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)CC1,Inactive,20000.0
2716,CHEMBL3545154,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)CC1,Inactive,19952.62
2717,CHEMBL3904602,CC(C)N1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1,Inactive,20000.0
